,model_name,step,dte,train_rmse,test_rmse,hyper,hyperidx,train_smape,test_smape,train_mase,test_mase
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,26.474695179799166,15.972337651964391,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.4,10,32.550531535388124,20.404221919544955,0.32750198,0.17929494
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,24.35004607084643,13.552743241323299,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.4,11,30.30403518427919,18.400174324972586,0.3183904,0.167179
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,24.1534932328962,9.838126959204669,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.4,11,30.407241214122635,12.600843998423793,0.32526264,0.11749711
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,24.485947919323287,11.323174430114758,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.4,11,30.587993823385517,14.094127989651863,0.32569778,0.12927677
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,27.622615935729414,9.112434828620689,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,12,33.29973397749511,9.474584746779056,0.45583707,0.101607
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,27.498927979815186,9.406720830850185,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,12,33.327472684279186,10.856776187294408,0.4594484,0.116318315
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,27.03163723530437,17.12041150177864,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,12,32.90927715264188,21.178400407757675,0.33201522,0.18230942
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,23.66996434120809,6.8775019861382765,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,13,30.601570144324853,8.109360544305098,0.36111784,0.07777035
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,25.231916240507157,13.043160609924616,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,13,30.674127527723417,17.71934964364035,0.30919418,0.16175567
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,24.222477031771287,10.651440203360375,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,13,30.282582660632745,13.153788248697916,0.32493746,0.121371746
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,36.524905552046775,29.51867808620554,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,14,46.678444023157205,47.423219915021924,0.36696976,0.38185987
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,23.662067378341806,4.866301576863821,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,14,30.852658186562294,5.737928959361294,0.3720243,0.055936962
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,27.256239430461147,17.68481942612832,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,14,33.498341181506845,22.04478267201206,0.34960133,0.19197626
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,23.67886009771889,8.506737675305667,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,15,30.499459801043702,9.912258215117872,0.35757995,0.09297096
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,24.312000416621675,9.367968554540903,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,15,30.434021832191778,11.866409034059759,0.32293892,0.11098578
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,24.467728516753066,13.088859282026355,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,15,30.72527570531637,15.7302031935307,0.33861443,0.14190921
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,24.123654026572137,6.903520277664222,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,16,31.01985485975212,7.369571618866502,0.3739022,0.0749654
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,23.662384648754763,6.0610230209953135,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,16,30.733238543705152,7.2651420727110745,0.35782182,0.06970944
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,25.036112833281074,14.472951983314534,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,16,30.92158706376386,18.61839107044956,0.3224499,0.1668575
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,23.96870416390663,9.966431159699804,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,17,30.140999571917806,12.511852599026863,0.32541895,0.11632619
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,23.48159913734316,9.352475790172447,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,17,30.040545499021526,11.77283143160636,0.33395886,0.110087074
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,24.7703810496276,9.218344055548418,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.2,17,31.329913772015654,10.192644085800438,0.3751037,0.09743186
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,29.30992417720383,14.174914184525841,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,18,34.11818126223092,15.279353626987389,0.48285934,0.16854793
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,24.680379956255866,13.565640837355417,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,18,30.474167278212654,18.567179361979164,0.31482565,0.16888902
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,24.82631930776477,15.208838774063874,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,18,31.048895649869536,20.087550113075658,0.3282702,0.17872165
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,23.694054172407895,7.767448472170399,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,19,30.51719208659491,9.04669189453125,0.35495993,0.08537411
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,23.930878602416456,8.918179202510226,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,19,30.37843739807567,11.180054781729714,0.33026907,0.104875825
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,23.98874527569843,7.172912389654442,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,19,30.575286407371166,7.3841911449766995,0.36323282,0.072083324
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,27.04554467590561,16.029754628417294,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,20,32.44563356164383,21.18140076754386,0.31225276,0.1871375
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,23.373670897206914,10.752965828499908,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,20,30.06969585779517,13.971870288514253,0.33922625,0.12946698
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,27.784782536939172,15.102238955200018,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,20,34.06750448467058,18.032991108141445,0.3434679,0.16092692
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,23.55731872741463,9.468266540875499,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,21,30.19362055609915,11.941071092036731,0.33983323,0.11156925
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,23.723673474094788,7.988552247466249,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,21,30.323619944553162,9.852165356016995,0.3359005,0.09304256
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,23.770415516111488,10.738095811649114,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,21,30.003720238095237,13.3494873046875,0.33038107,0.12324495
