,model_name,step,dte,train_rmse,test_rmse,train_smape,test_smape,train_mase,test_mase
naive_1_2022-12-22 00:00:00,naive,1,2022-12-22 00:00:00,41.21448622119562,11.938773471341188,34.0504735643336,9.297148809860927,0.4136679158040484,0.08809280097431914
ma30_1_2022-12-22 00:00:00,ma30,1,2022-12-22 00:00:00,41.360444506240654,21.886394753616024,33.4476935406692,19.128242043345512,0.36778639448771633,0.17392265651454672
Holt=1.0_1_2022-12-22 00:00:00,Holt=1.0,1,2022-12-22 00:00:00,640.967408060491,2.953082768758014,131.44684442552622,1.9852324399401986,6.39569824035486,0.019585696248756657
Holt_alpha=0.3_beta_0.1_1_2022-12-22 00:00:00,Holt_alpha=0.3_beta_0.1,1,2022-12-22 00:00:00,1200.7282716447328,9.59266740452868,150.39628101409767,5.933421071070895,11.842975585621653,0.06211771129641772
Arima_Best_1_2022-12-22 00:00:00,Arima_Best,1,2022-12-22 00:00:00,40.46983557570536,12.045925385236666,33.306526428699414,9.378065724622465,0.393081670468119,0.0888124173477789
snaive_1_2022-12-22 00:00:00,snaive,1,2022-12-22 00:00:00,119.10934137414118,96.45066838544977,73.22175468320127,56.79085002352544,1.4031859033930159,0.7951410694871192
DampedES_alpha=1.0_1_2022-12-22 00:00:00,DampedES_alpha=1.0,1,2022-12-22 00:00:00,41.21448621971675,11.938773483286027,34.05047356302796,9.2971488202507,0.41366791573958606,0.08809280106809102
combined_1_2022-12-22 00:00:00,combined,1,2022-12-22 00:00:00,406.8336127952289,5.33627881611105,115.92816712193611,4.155422031600061,4.122474034018993,0.04060852438391125
esrnn_1_2022-12-22 00:00:00,esrnn_ftsubset,1,2022-12-22 00:00:00,42.02702551958011,26.457007892079606,33.41320210375817,23.545913428591007,0.35401514172554016,0.2099626064300537
gru_1_2022-12-22 00:00:00,gru_grusubset,1,2022-12-22 00:00:00,22.757084340822583,15.549711189163812,19.345266544117646,12.694235283031798,0.2118690013885498,0.11865442991256714
lstm_1_2022-12-22 00:00:00,lstm_lstmsubset,1,2022-12-22 00:00:00,37.90700837813092,23.267734121995527,30.60052083333333,19.88924581962719,0.33618009090423584,0.17910389602184296
rnn_1_2022-12-22 00:00:00,rnn_rnnsubset,1,2022-12-22 00:00:00,8.637330901813469,11.664341794839345,6.251049964256535,8.864584939521656,0.06270650029182434,0.08408112078905106
reg_1_2022-12-22 00:00:00,reg,1,2022-12-22 00:00:00,48.255535638527036,43.99261614677039,38.25940181605725,43.70237124805163,0.29909189099391914,0.35816614116965767
SES_alpha=0.2_2_2023-01-17 00:00:00,SES_alpha=0.2,2,2023-01-17 00:00:00,43.94954015728133,4.041648191102244,35.608414915773544,2.6703376369660314,0.4756940933358777,0.026199447365904172
SES_alpha=0.6_2_2023-01-17 00:00:00,SES_alpha=0.6,2,2023-01-17 00:00:00,43.72286887824165,4.547088426599587,35.47920313245885,3.0810573119193903,0.47178862616093653,0.03016416009518418
SES_alpha=1.0_2_2023-01-17 00:00:00,SES_alpha=1.0,2,2023-01-17 00:00:00,43.94954015728133,4.041648191102244,35.608414915773544,2.6703376369660314,0.4756940933358777,0.026199447365904172
ES_alpha=1.0_2_2023-01-17 00:00:00,ES_alpha=1.0,2,2023-01-17 00:00:00,43.94954015728133,4.041648191102244,35.608414915773544,2.6703376369660314,0.4756940933358777,0.026199447365904172
naive_2_2023-01-17 00:00:00,naive,2,2023-01-17 00:00:00,43.94954016315581,4.041648178651873,35.60841491913652,2.6703376275850617,0.47569409343623814,0.026199447275475643
ma30_2_2023-01-17 00:00:00,ma30,2,2023-01-17 00:00:00,41.293610885376026,13.601389965735125,34.0489375428639,11.22838939631632,0.4186993301648691,0.10614509788853084
Holt=1.0_2_2023-01-17 00:00:00,Holt=1.0,2,2023-01-17 00:00:00,1001.271611938234,12.495097649323615,145.6296817547403,8.216456471087303,9.90395539883564,0.08672263257225858
Holt_alpha=0.3_beta_0.1_2_2023-01-17 00:00:00,Holt_alpha=0.3_beta_0.1,2,2023-01-17 00:00:00,1416.7628951839142,18.66821892689618,154.95622204816178,11.793482642158752,13.935775886893529,0.1277910367660771
Arima_Best_2_2023-01-17 00:00:00,Arima_Best,2,2023-01-17 00:00:00,39.31678482432878,4.57835967501684,32.23121258716606,3.054973324353042,0.3902676906449115,0.02989942466132345
snaive_2_2023-01-17 00:00:00,snaive,2,2023-01-17 00:00:00,86.6149711914982,57.07986650299735,58.48847923220741,37.04496085385622,1.0162462687889349,0.45501251491124983
DampedES_alpha=1.0_2_2023-01-17 00:00:00,DampedES_alpha=1.0,2,2023-01-17 00:00:00,43.94954015728133,4.041648191102244,35.608414915773544,2.6703376369660314,0.4756940933358777,0.026199447365904172
combined_2_2023-01-17 00:00:00,combined,2,2023-01-17 00:00:00,485.16334481752966,3.9077716096951485,122.2964391135915,2.597553215519389,4.892338516319939,0.026442107555070545
esrnn_2_2023-01-17 00:00:00,esrnn_ftsubset,2,2023-01-17 00:00:00,41.70452853342563,27.516715223645768,33.328287601626016,24.533956962719298,0.35712653398513794,0.21836720407009125
gru_2_2023-01-17 00:00:00,gru_grusubset,2,2023-01-17 00:00:00,31.774845524494193,16.15285528588425,26.582403455284553,13.569319875616776,0.30143487453460693,0.12688978016376495
lstm_2_2023-01-17 00:00:00,lstm_lstmsubset,2,2023-01-17 00:00:00,13.5603998905058,10.757890511245833,11.682511432926828,7.547018486156798,0.12734968960285187,0.07188994437456131
rnn_2_2023-01-17 00:00:00,rnn_rnnsubset,2,2023-01-17 00:00:00,7.358780174757253,5.1855494497404155,5.572798526422765,3.3729641563013977,0.05499221757054329,0.033213935792446136
reg_2_2023-01-17 00:00:00,reg,2,2023-01-17 00:00:00,48.212761899539196,46.36978101791865,38.2830325658679,45.21230029397285,0.29938888785769463,0.36864649031333707
SES_alpha=0.2_3_2023-02-07 00:00:00,SES_alpha=0.2,3,2023-02-07 00:00:00,44.62068386471802,3.3133478508505574,35.89292134125154,2.2738386283225642,0.48638866715659823,0.022685709207976038
SES_alpha=0.6_3_2023-02-07 00:00:00,SES_alpha=0.6,3,2023-02-07 00:00:00,44.71446797242451,3.2723461034069694,35.94672801151956,2.214777927569957,0.48789771390064474,0.022136432557792633
SES_alpha=1.0_3_2023-02-07 00:00:00,SES_alpha=1.0,3,2023-02-07 00:00:00,44.62068386471802,3.3133478508505574,35.89292134125154,2.2738386283225642,0.48638866715659823,0.022685709207976038
ES_alpha=1.0_3_2023-02-07 00:00:00,ES_alpha=1.0,3,2023-02-07 00:00:00,44.62068386471802,3.3133478508505574,35.89292134125154,2.2738386283225642,0.48638866715659823,0.022685709207976038
naive_3_2023-02-07 00:00:00,naive,3,2023-02-07 00:00:00,44.62068385915048,3.3133478537575844,35.892921338039486,2.27383863185039,0.4863886670665769,0.022685709240756333
ma30_3_2023-02-07 00:00:00,ma30,3,2023-02-07 00:00:00,42.775840806428015,6.725979208346623,34.86646315082789,4.795191024261695,0.4545719710846544,0.04651292903123044
Holt=1.0_3_2023-02-07 00:00:00,Holt=1.0,3,2023-02-07 00:00:00,704.3746092680582,11.774455530351805,134.97089606851122,6.948176537272044,7.007981749123403,0.07384034477297673
Holt_alpha=0.3_beta_0.1_3_2023-02-07 00:00:00,Holt_alpha=0.3_beta_0.1,3,2023-02-07 00:00:00,660.1491092959967,11.789639180307965,132.90251399599472,7.171849644394428,6.58167818148418,0.07608827266926621
Arima_Best_3_2023-02-07 00:00:00,Arima_Best,3,2023-02-07 00:00:00,39.15233491748638,3.425957686828599,32.0590522585001,2.3834920901516146,0.3901393449089918,0.02362488555995054
snaive_3_2023-02-07 00:00:00,snaive,3,2023-02-07 00:00:00,67.42744117204587,35.027384401350886,48.50317390853998,24.50768771005659,0.7835943235428658,0.2797907692033366
DampedES_alpha=1.0_3_2023-02-07 00:00:00,DampedES_alpha=1.0,3,2023-02-07 00:00:00,44.62068386471802,3.3133478508505574,35.89292134125154,2.2738386283225642,0.48638866715659823,0.022685709207976038
combined_3_2023-02-07 00:00:00,combined,3,2023-02-07 00:00:00,235.60446692563372,5.018761598906647,95.7438578526763,2.6439093371450486,2.4653334310265715,0.027231806655285826
esrnn_3_2023-02-07 00:00:00,esrnn_ftsubset,3,2023-02-07 00:00:00,53.53921241132522,52.60284987007002,40.899380562297736,53.54244192023026,0.33589068055152893,0.4221287667751312
gru_3_2023-02-07 00:00:00,gru_grusubset,3,2023-02-07 00:00:00,19.51514726822195,10.816798067005008,16.749104975728155,8.425852457682291,0.18199551105499268,0.0804125964641571
lstm_3_2023-02-07 00:00:00,lstm_lstmsubset,3,2023-02-07 00:00:00,8.833878362383462,6.025352005548845,6.453331057847897,4.162531534830729,0.06667633354663849,0.041192881762981415
rnn_3_2023-02-07 00:00:00,rnn_rnnsubset,3,2023-02-07 00:00:00,11.693277002225734,9.1755372100636,8.438041691949838,5.997587505139802,0.084870845079422,0.05818328261375427
reg_3_2023-02-07 00:00:00,reg,3,2023-02-07 00:00:00,48.20489287955692,50.35461879286603,38.29221793203817,50.2547604280195,0.2995273225052946,0.40147993758709094
SES_alpha=0.2_4_2023-03-01 00:00:00,SES_alpha=0.2,4,2023-03-01 00:00:00,45.10243737707868,9.37310044747925,36.05296840495188,5.615304954698424,0.4933291229983722,0.05945124724449828
SES_alpha=0.6_4_2023-03-01 00:00:00,SES_alpha=0.6,4,2023-03-01 00:00:00,45.10832772937656,9.380268655739933,36.05619226789727,5.616592066208912,0.4934193503008871,0.059470742574879505
SES_alpha=1.0_4_2023-03-01 00:00:00,SES_alpha=1.0,4,2023-03-01 00:00:00,45.10243737707868,9.37310044747925,36.05296840495188,5.615304954698424,0.4933291229983722,0.05945124724449828
ES_alpha=1.0_4_2023-03-01 00:00:00,ES_alpha=1.0,4,2023-03-01 00:00:00,45.10243737707868,9.37310044747925,36.05296840495188,5.615304954698424,0.4933291229983722,0.05945124724449828
naive_4_2023-03-01 00:00:00,naive,4,2023-03-01 00:00:00,45.10243737714291,9.373100447557361,36.05296840498696,5.615304954712465,0.4933291229993556,0.059451247244710945
ma30_4_2023-03-01 00:00:00,ma30,4,2023-03-01 00:00:00,44.329826351792,8.543819000371622,35.618892694118166,5.489656864885998,0.48111596785081856,0.057302697131027404
Holt=1.0_4_2023-03-01 00:00:00,Holt=1.0,4,2023-03-01 00:00:00,501.61723052967284,16.492315857471624,123.58689710837294,9.779818360168743,5.034104961551276,0.10781755385693705
Holt_alpha=0.3_beta_0.1_4_2023-03-01 00:00:00,Holt_alpha=0.3_beta_0.1,4,2023-03-01 00:00:00,287.64155578846356,13.404688135456682,103.41823602161557,7.936961483572662,2.967313397930964,0.08613965327371562
Arima_Best_4_2023-03-01 00:00:00,Arima_Best,4,2023-03-01 00:00:00,38.97978222867466,8.747757673439637,31.880059283084087,5.313602046518565,0.38903865515388386,0.0559692596174337
snaive_4_2023-03-01 00:00:00,snaive,4,2023-03-01 00:00:00,42.92579500462849,8.030208963657172,34.844617995041695,5.395807606537985,0.45714773404128084,0.05455972856589307
DampedES_alpha=1.0_4_2023-03-01 00:00:00,DampedES_alpha=1.0,4,2023-03-01 00:00:00,45.10243737707868,9.37310044747925,36.05296840495188,5.615304954698424,0.4933291229983722,0.05945124724449828
combined_4_2023-03-01 00:00:00,combined,4,2023-03-01 00:00:00,115.43354862832086,10.665770344207386,67.9902046990036,6.320834966870079,1.273012641104219,0.06752816888992623
esrnn_4_2023-03-01 00:00:00,esrnn_ftsubset,4,2023-03-01 00:00:00,117.07625553191816,122.67743049609818,200.0,200.0,1.0380851030349731,1.0277493000030518
gru_4_2023-03-01 00:00:00,gru_grusubset,4,2023-03-01 00:00:00,30.145965498551273,11.650906480878296,25.284958735909825,8.994151332922149,0.2858312129974365,0.08607859164476395
lstm_4_2023-03-01 00:00:00,lstm_lstmsubset,4,2023-03-01 00:00:00,36.37838593025569,18.045522981011192,29.45492652979066,12.96807218852796,0.3298527002334595,0.11995995789766312
rnn_4_2023-03-01 00:00:00,rnn_rnnsubset,4,2023-03-01 00:00:00,9.603936469132071,11.883308796547432,7.029023248792271,7.894378126713267,0.06997688859701157,0.08370545506477356
reg_4_2023-03-01 00:00:00,reg,4,2023-03-01 00:00:00,48.190496496250624,46.48198167317201,38.34353899603686,46.52920666471499,0.30000271965116804,0.376386590382695
SES_alpha=0.2_5_2023-03-22 00:00:00,SES_alpha=0.2,5,2023-03-22 00:00:00,46.01082855301843,16.11732236146458,36.435012416196884,11.700778984657457,0.5061321612584181,0.12733040306748103
SES_alpha=0.6_5_2023-03-22 00:00:00,SES_alpha=0.6,5,2023-03-22 00:00:00,46.170372916481476,16.409058804041074,36.52174057613742,11.963113592710743,0.5084509378675227,0.1303058912238239
SES_alpha=1.0_5_2023-03-22 00:00:00,SES_alpha=1.0,5,2023-03-22 00:00:00,46.01082855301843,16.11732236146458,36.435012416196884,11.700778984657457,0.5061321612584181,0.12733040306748103
ES_alpha=1.0_5_2023-03-22 00:00:00,ES_alpha=1.0,5,2023-03-22 00:00:00,46.01082855301843,16.11732236146458,36.435012416196884,11.700778984657457,0.5061321612584181,0.12733040306748103
naive_5_2023-03-22 00:00:00,naive,5,2023-03-22 00:00:00,46.01082855126996,16.117322358257894,36.435012415244195,11.700778981760973,0.5061321612329064,0.12733040303467397
ma30_5_2023-03-22 00:00:00,ma30,5,2023-03-22 00:00:00,45.37250948183809,14.93285382340265,36.09253583878891,10.659913558105547,0.49674752828195545,0.11554345761564015
Holt=1.0_5_2023-03-22 00:00:00,Holt=1.0,5,2023-03-22 00:00:00,383.47277606962535,21.88887461838372,114.11979244609579,15.543202765870634,3.887508332542694,0.17384810027751624
Holt_alpha=0.3_beta_0.1_5_2023-03-22 00:00:00,Holt_alpha=0.3_beta_0.1,5,2023-03-22 00:00:00,294.62688797460413,21.6443087302462,104.4037706189515,15.636391622981543,3.0331017716590325,0.17436691397408743
Arima_Best_5_2023-03-22 00:00:00,Arima_Best,5,2023-03-22 00:00:00,38.84904284470119,15.312497417571421,31.731211173051832,11.14663358920988,0.3897887562567203,0.12082859804155403
snaive_5_2023-03-22 00:00:00,snaive,5,2023-03-22 00:00:00,42.27512366355929,9.11051195048884,34.43739484824125,6.727142659569721,0.445017801965746,0.06985707266817454
DampedES_alpha=1.0_5_2023-03-22 00:00:00,DampedES_alpha=1.0,5,2023-03-22 00:00:00,46.01082855301843,16.11732236146458,36.435012416196884,11.700778984657457,0.5061321612584181,0.12733040306748103
combined_5_2023-03-22 00:00:00,combined,5,2023-03-22 00:00:00,118.77714566278134,17.952647680640887,69.13327497104004,13.034851673072726,1.308063161096892,0.14300924003634985
esrnn_5_2023-03-22 00:00:00,esrnn_ftsubset,5,2023-03-22 00:00:00,118.52024649031489,118.5803146210407,200.0,200.0,1.0540285110473633,1.0419598817825317
gru_5_2023-03-22 00:00:00,gru_grusubset,5,2023-03-22 00:00:00,5.255940482407906,15.185732138138388,2.3635770357572117,11.260701497395832,0.023241722956299782,0.12180408835411072
lstm_5_2023-03-22 00:00:00,lstm_lstmsubset,5,2023-03-22 00:00:00,34.208852735348344,13.669655511808754,28.220983573717948,9.90173768160636,0.32294341921806335,0.0953967496752739
rnn_5_2023-03-22 00:00:00,rnn_rnnsubset,5,2023-03-22 00:00:00,12.222266118134558,18.280564724068547,9.179594225761218,13.060257761101973,0.09116055071353912,0.14194245636463165
reg_5_2023-03-22 00:00:00,reg,5,2023-03-22 00:00:00,48.228827868331294,43.86337074639276,38.42611807203537,46.240686358103794,0.3006485705247574,0.3743457333091373
